element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
54,7,5,1,True,2020-09-14T19:15:00Z,1,3,1,44,0,0,0,1,0,0,0,0,0,0,0,6,6.8,27.2,2.0,3.6,65,0,78657,0,0
54,16,14,1,False,2020-09-20T13:00:00Z,0,3,2,12,0,0,0,0,0,0,0,0,0,0,0,3,6.4,1.2,0.0,0.8,65,-25783,57682,2185,27968
54,19,13,2,True,2020-09-26T11:30:00Z,2,3,3,73,0,0,0,2,0,0,0,0,0,0,0,7,1.4,2.8,0.0,0.4,64,-13848,45742,1340,15188
54,32,7,1,False,2020-10-03T14:00:00Z,4,2,4,24,0,0,0,1,0,0,0,0,0,0,0,5,3.4,13.0,8.0,2.4,64,-5216,42184,1748,6964
54,40,6,2,False,2020-10-18T13:00:00Z,1,1,5,77,0,0,0,1,0,0,0,0,0,0,0,4,0.0,4.9,1.0,0.5,63,-6062,36915,1191,7253
54,51,18,3,True,2020-10-26T17:30:00Z,1,1,6,60,0,0,1,0,0,0,0,0,0,0,0,14,9.6,22.1,22.0,5.4,63,-2589,34871,1019,3608
54,67,17,2,False,2020-11-01T19:15:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,0,0,4,0.0,16.1,18.0,3.2,63,-2018,33221,813,2831
54,70,4,3,True,2020-11-06T17:30:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,20,14.4,43.6,44.0,10.2,62,-1005,32712,1667,2672
54,79,2,4,False,2020-11-21T15:00:00Z,1,2,9,45,0,1,0,0,0,0,0,0,0,0,0,18,18.8,11.1,6.0,3.6,62,-1276,31681,1300,2576
54,90,11,1,True,2020-11-28T12:30:00Z,1,1,10,8,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,62,-2472,29242,269,2741
54,100,16,0,True,2020-12-07T20:00:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-3234,26016,102,3336
54,114,9,0,False,2020-12-13T19:15:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-2048,24114,78,2126
54,121,8,3,False,2020-12-16T20:00:00Z,0,0,13,85,0,0,1,0,0,0,0,0,0,0,0,4,0.0,1.6,2.0,0.2,62,-787,23388,43,830
54,129,15,2,True,2020-12-20T12:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,14,12.4,28.4,14.0,5.5,62,1063,24628,1526,463
54,147,19,1,False,2020-12-27T14:15:00Z,2,2,15,45,0,0,0,0,0,0,0,0,0,0,0,10,12.2,23.8,0.0,3.6,62,-434,24341,577,1011
54,149,1,0,True,2020-12-29T18:00:00Z,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-691,23684,139,830
54,159,20,1,True,2021-01-02T17:30:00Z,3,3,17,21,0,0,0,0,0,0,0,0,0,0,0,5,5.2,0.6,0.0,0.6,62,-794,22915,30,824
54,178,12,0,False,2021-01-13T18:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-540,22419,226,766
54,182,10,0,False,2021-01-16T15:00:00Z,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-455,22023,31,486
54,189,8,0,True,2021-01-27T19:30:00Z,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-592,21468,66,658
54,200,17,1,True,2021-01-31T19:15:00Z,1,0,21,11,0,0,0,0,0,0,0,0,0,0,0,3,10.2,0.8,0.0,1.1,62,-152,21368,60,212
54,216,11,1,False,2021-02-03T20:15:00Z,0,1,22,23,0,0,0,0,0,0,0,0,0,0,0,3,5.4,11.2,0.0,1.7,62,-54,21377,116,170
54,220,4,1,False,2021-02-06T15:00:00Z,1,1,23,15,0,0,0,0,0,0,0,0,0,0,0,3,1.6,1.5,2.0,0.5,62,58,21528,253,195
54,230,2,1,True,2021-02-13T20:00:00Z,0,0,24,28,0,0,0,0,0,0,0,0,0,0,0,10,8.8,43.7,10.0,6.3,62,-146,21501,241,387
